doc_id,umap_x,umap_y,domain,source_type,review_status,title
da84b250c33044cfbf05c87c133d959c,2.0755,7.6095,code,arxiv,approved,The Geometry of LLM Quantization: GPTQ as Babai's Nearest Plane Algorithm
1845262625094ca099bc19f2d3c475e4,2.1526,7.2721,code,arxiv,approved,4-bit Conformer with Native Quantization Aware Training for Speech Recognition
7aefda574bb64e678b0db4536cf19bba,3.2611,8.2120,code,tavily,approved,Continuous Batching in vLLM: Killing the Hardware Idle - Rajat Pandit
a14f099440dc43fc95c56329ce127815,2.6870,10.0158,code,arxiv,approved,Speculative Safety-Aware Decoding
b6c1a6f7c10e4f04bdd95eed8c28bd82,2.7032,10.0389,code,arxiv,approved,Speculative Decoding: Exploiting Speculative Execution for Accelerating Seq2seq 
66fb9611536047c2b205909205cad649,3.1971,8.3423,code,tavily,approved,KV Cache Optimization: Memory Efficiency for Production LLMs - Introl
4a286f659cac4855acad2977fc5ada8a,1.7373,10.7669,code,arxiv,approved,Live API-Bench: 2500+ Live APIs for Testing Multi-Step Tool Calling
5e1e7b961a8d49a4896bd4f24b8ccf93,-0.7129,9.4420,code,arxiv,approved,Long-Term Online Multi-Session Graph-Based SPLAM with Memory Management
78904eca22304833873e19675d8eb1f4,-1.1471,11.2702,code,arxiv,approved,DiffCoT: Diffusion-styled Chain-of-Thought Reasoning in LLMs
4329209d3a1e4c07bafb9d24b2f5c14b,-0.9912,11.3083,code,arxiv,approved,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models
90a235022ab744bcab54e11c48d8e882,-1.0320,11.3298,code,tavily,approved,What is chain of thought (CoT) prompting? - IBM
2ddd20286ea3468b8a705656bd68ad62,0.2689,13.2019,code,arxiv,approved,How and Where to Translate? The Impact of Translation Strategies in Cross-lingua
5cc8eef125d445f59c52d9b541c268fd,1.9738,9.8517,code,arxiv,approved,SecAlign: Defending Against Prompt Injection with Preference Optimization
722b7684a99540a5adecc8b31860326d,-1.6166,9.5571,code,tavily,approved,Understanding Constitutional AI - Medium
9a0c430436004f3f8b82fd0f94e0d4e7,2.8365,9.8801,code,arxiv,approved,SoK: Hardware Defenses Against Speculative Execution Attacks
45f1124b2e20448ab079c8983d591585,9.5499,4.6691,code,arxiv,approved,Convergence of tandem Brownian queues
17f40957a1344bc689d761106b96d653,4.1667,8.7089,code,arxiv,approved,Online anomaly detection using statistical leverage for streaming business proce
0210e9b6a21f412e92769037a65bfa11,0.3441,10.2695,code,arxiv,approved,Semi-Supervised Visual Tracking of Marine Animals using Autonomous Underwater Ve
0b5fb96f623e428d8b08d4e3ab2f800d,4.7461,9.4415,code,arxiv,approved,Amalgamating Different JIT Compilations in a Meta-tracing JIT Compiler Framework
ab63e6747ffb44e8962772adb72638b7,-0.5212,11.2177,code,arxiv,approved,Learning Iterative Reasoning through Energy Minimization
758e4433ab6648c89e6fb6f77fb88170,2.9331,11.6070,code,arxiv,approved,Ontological Queries: Rewriting and Optimization (Extended Version)
043c170324304be68026cf8691163316,2.4210,13.2061,code,arxiv,approved,Semantic Evolutionary Concept Distances for Effective Information Retrieval in Q
18ecb1515a71432c8e556eb4c02c40d4,0.3604,15.0899,code,arxiv,approved,Meta-Chunking: Learning Text Segmentation and Semantic Completion via Logical Pe
99b75df2eb104afc9f22db198835e0ca,1.7270,13.4168,code,arxiv,approved,Neural ranking models for document retrieval
5e1d7328ed0742d6a8b638156b01edcc,0.6140,14.1983,code,arxiv,approved,Rethinking Chunk Size For Long-Document Retrieval: A Multi-Dataset Analysis
fba8bb01a69f47769d07c7388c7758f1,2.7971,13.0379,code,arxiv,approved,SOAR: Improved Indexing for Approximate Nearest Neighbor Search
e54f6ce892094e0f96ce8aeadbf656ae,-0.0315,13.9496,code,arxiv,approved,FAIR-RAG: Faithful Adaptive Iterative Refinement for Retrieval-Augmented Generat
001bcd71298f4c8e853d1a6fef7b1fde,3.0549,8.8783,code,arxiv,approved,Adaptive Multi-Dimensional Coordinated Comprehensive Routing Scheme for IoV
6a32b8fe541c40978788744394264eb2,1.1227,13.0508,code,arxiv,approved,Query-Specific Knowledge Graphs for Complex Finance Topics
089b49982ae34fa7909f0d979f49d0b8,1.5474,14.3781,code,stackoverflow,approved,How to use Transformers for text classification?
5728d1fa23ff4ca49ab8e73d80bd8ab9,1.0402,9.2745,code,arxiv,approved,Learning Causal Models Online
d57d69c2a89944f6919e6053202f9720,1.5369,13.4314,code,arxiv,approved,ColBERT: Efficient and Effective Passage Search via Contextualized Late Interact
